"idorder","orderDate","priority_idpriority","customer_idcustomer"
"CA-2014-151218","2014-06-21","4","PJ-19015"
"CA-2014-151225","2014-10-28","2","JM-15655"
"CA-2014-151281","2014-04-28","1","HM-14980"
"CA-2014-151484","2014-04-21","1","CV-12805"
"CA-2014-151596","2014-10-09","2","BP-11050"
"CA-2014-151750","2014-01-02","1","JM-15250"
"CA-2014-151799","2014-12-15","2","BF-11170"
"CA-2014-151855","2014-05-28","3","BW-11110"
"CA-2014-151911","2014-05-01","1","DL-13495"
"CA-2014-151981","2014-08-07","1","GM-14455"
"CA-2014-152079","2014-01-21","1","ML-17410"
"CA-2014-152093","2014-09-11","1","SN-20560"
"CA-2014-152142","2014-11-15","1","LW-16990"
"CA-2014-152226","2014-05-13","2","JH-15910"
"CA-2014-152261","2014-03-03","1","JA-15970"
"CA-2014-152436","2014-12-09","2","CW-11905"
"CA-2014-152485","2014-09-05","1","JD-15790"
"CA-2014-152499","2014-01-23","1","EH-13765"
"CA-2014-152583","2014-10-31","4","RA-19945"
"CA-2014-152660","2014-12-05","1","CB-12415"
"CA-2014-152695","2014-12-11","2","CC-12220"
"CA-2014-152702","2014-10-13","2","SN-20710"
"CA-2014-152709","2014-10-08","1","DB-13210"
"CA-2014-152807","2014-10-31","2","MC-18100"
"CA-2014-152912","2014-11-10","4","BM-11650"
"CA-2014-152926","2014-10-03","4","SC-20695"
"CA-2014-152933","2014-10-13","1","MG-17650"
"CA-2014-152975","2014-09-15","2","RB-19705"
"CA-2014-153045","2014-01-20","1","NS-18505"
"CA-2014-153227","2014-12-05","2","CS-12250"
"CA-2014-153339","2014-11-04","2","DJ-13510"
"CA-2014-153654","2014-11-25","1","MD-17860"
"CA-2014-153843","2014-03-14","1","SC-20380"
"CA-2014-154011","2014-06-20","1","DB-13270"
"CA-2014-154039","2014-02-18","1","JK-16120"
"CA-2014-154074","2014-09-01","2","BW-11110"
"CA-2014-154109","2014-11-07","1","ML-17410"
"CA-2014-154116","2014-12-16","2","KM-16660"
"CA-2014-154123","2014-11-21","1","SC-20050"
"CA-2014-154137","2014-11-12","1","MT-17815"
"CA-2014-154214","2014-03-21","1","TB-21595"
"CA-2014-154410","2014-10-22","2","MD-17860"
"CA-2014-154466","2014-01-02","2","DP-13390"
"CA-2014-154501","2014-05-01","1","EA-14035"
"CA-2014-154676","2014-08-06","2","NZ-18565"
"CA-2014-154718","2014-01-20","1","DL-12865"
"CA-2014-154732","2014-11-06","4","AH-10195"
"CA-2014-154809","2014-02-14","2","MH-17455"
"CA-2014-154907","2014-04-01","2","DS-13180"
"CA-2014-154935","2014-12-25","1","AR-10540"
"CA-2014-154949","2014-10-16","1","MC-17275"
"CA-2014-155047","2014-08-28","1","SE-20110"
"CA-2014-155159","2014-11-26","1","DL-13315"
"CA-2014-155292","2014-10-31","4","RD-19810"
"CA-2014-155362","2014-12-18","1","DP-13105"
"CA-2014-155376","2014-12-23","1","SG-20080"
"CA-2014-155607","2014-11-27","1","FG-14260"
"CA-2014-155621","2014-11-09","2","KN-16450"
"CA-2014-155642","2014-05-19","1","BM-11575"
"CA-2014-155698","2014-03-09","2","VB-21745"
"CA-2014-155705","2014-08-22","2","NF-18385"
"CA-2014-155712","2014-03-03","1","KD-16615"
"CA-2014-155740","2014-07-31","2","TC-21475"
"CA-2014-155873","2014-06-17","2","AB-10255"
"CA-2014-155880","2014-03-26","1","JD-16150"
"CA-2014-155929","2014-09-10","1","AI-10855"
"CA-2014-155936","2014-06-23","3","JK-15730"
"CA-2014-155957","2014-11-27","1","CC-12610"
"CA-2014-155985","2014-03-24","2","BE-11335"
"CA-2014-156237","2014-09-15","2","PS-18760"
"CA-2014-156622","2014-11-24","1","JP-15460"
"CA-2014-156664","2014-12-19","1","BP-11290"
"CA-2014-156720","2014-12-31","1","JM-15580"
"CA-2014-156769","2014-05-07","1","GZ-14470"
"CA-2014-156776","2014-08-08","2","JL-15505"
"CA-2014-156895","2014-05-09","1","DJ-13510"
"CA-2014-156951","2014-10-02","1","EB-13840"
"CA-2014-156958","2014-12-06","2","PB-18805"
"CA-2014-157091","2014-06-27","2","DB-13405"
"CA-2014-157112","2014-04-24","4","GG-14650"
"CA-2014-157252","2014-01-21","1","CV-12805"
"CA-2014-157350","2014-08-27","1","DP-13000"
"CA-2014-157448","2014-11-17","1","LC-16885"
"CA-2014-157469","2014-12-03","1","ES-14080"
"CA-2014-157483","2014-11-12","3","EP-13915"
"CA-2014-157854","2014-04-09","3","DM-13345"
"CA-2014-157931","2014-09-18","1","MO-17800"
"CA-2014-157966","2014-03-14","4","SU-20665"
"CA-2014-157987","2014-09-03","2","AC-10615"
"CA-2014-158106","2014-06-05","1","CT-11995"
"CA-2014-158120","2014-11-18","1","KH-16330"
"CA-2014-158169","2014-08-13","1","JM-16195"
"CA-2014-158246","2014-11-10","4","JB-15400"
"CA-2014-158407","2014-06-05","1","LW-16990"
"CA-2014-158561","2014-11-12","2","BB-11545"
"CA-2014-158673","2014-12-30","1","KB-16600"
"CA-2014-158729","2014-12-20","2","AC-10450"
"CA-2014-158743","2014-10-21","1","IG-15085"
"CA-2014-158876","2014-11-20","1","AB-10150"
"CA-2014-158883","2014-06-03","2","CS-11860"
"CA-2014-158953","2014-06-05","2","ML-18040"
"CA-2014-158967","2014-12-11","2","BT-11680"
"CA-2014-159100","2014-10-17","1","VP-21760"
"CA-2014-159149","2014-02-18","1","CR-12820"
"CA-2014-159226","2014-04-26","4","RL-19615"
"CA-2014-159464","2014-05-19","2","TB-21355"
"CA-2014-159506","2014-11-28","1","JR-16210"
"CA-2014-159597","2014-11-10","2","MC-17590"
"CA-2014-159793","2014-08-26","2","SV-20365"
"CA-2014-159954","2014-09-11","2","SS-20410"
"CA-2014-160017","2014-09-29","2","SP-20860"
"CA-2014-160031","2014-12-05","1","LT-16765"
"CA-2014-160045","2014-04-27","2","LB-16735"
"CA-2014-160087","2014-03-19","1","EN-13780"
"CA-2014-160122","2014-11-19","1","RD-19930"
"CA-2014-160423","2014-01-22","1","PS-19045"
"CA-2014-160458","2014-05-28","4","EH-13945"
"CA-2014-160633","2014-11-17","1","BS-11380"
"CA-2014-160661","2014-10-29","2","SA-20830"
"CA-2014-160724","2014-05-06","1","YS-21880"
"CA-2014-160899","2014-08-12","1","DR-12940"
"CA-2014-160927","2014-01-30","2","TM-21010"
"CA-2014-160934","2014-01-16","2","TT-21460"
"CA-2014-160983","2014-10-30","2","GB-14530"
"CA-2014-161018","2014-11-10","4","PN-18775"
"CA-2014-161053","2014-09-23","1","JE-15745"
"CA-2014-161067","2014-09-04","2","KB-16405"
"CA-2014-161088","2014-05-26","2","MH-18115"
"CA-2014-161102","2014-08-01","2","EC-14050"
"CA-2014-161172","2014-03-17","2","SP-20920"
"CA-2014-161200","2014-08-07","1","SV-20365"
"CA-2014-161333","2014-02-03","1","JL-15835"
"CA-2014-161340","2014-05-29","2","AM-10360"
"CA-2014-161459","2014-11-26","1","EB-13750"
"CA-2014-161480","2014-12-26","2","RA-19285"
"CA-2014-161557","2014-09-04","2","AG-10900"
"CA-2014-161578","2014-12-17","2","RB-19465"
"CA-2014-161592","2014-04-07","1","CS-12175"
"CA-2014-161655","2014-05-14","1","CW-11905"
"CA-2014-161739","2014-11-11","1","EB-13750"
"CA-2014-161774","2014-05-15","2","GT-14710"
"CA-2014-161851","2014-04-16","2","BP-11095"
"CA-2014-161956","2014-08-28","1","DR-12880"
"CA-2014-161984","2014-04-11","1","SJ-20125"
"CA-2014-162012","2014-07-12","1","KB-16240"
"CA-2014-162173","2014-10-27","1","OT-18730"
"CA-2014-162481","2014-09-26","2","CT-11995"
"CA-2014-162565","2014-12-12","2","RR-19315"
"CA-2014-162572","2014-09-26","2","RB-19360"
"CA-2014-162691","2014-08-02","1","AS-10045"
"CA-2014-162712","2014-06-19","2","NK-18490"
"CA-2014-162789","2014-09-23","2","LC-17140"
"CA-2014-162880","2014-12-26","1","GD-14590"
"CA-2014-162929","2014-11-20","1","AS-10135"
"CA-2014-162978","2014-05-05","1","LW-16990"
"CA-2014-163006","2014-07-01","2","GH-14410"
"CA-2014-163020","2014-09-16","1","MO-17800"
"CA-2014-163069","2014-08-19","2","PJ-19015"
"CA-2014-163097","2014-08-28","2","SF-20200"
"CA-2014-163125","2014-10-10","2","MB-17305"
"CA-2014-163139","2014-12-02","2","CC-12670"
"CA-2014-163160","2014-10-14","4","TS-21610"
"CA-2014-163265","2014-02-17","1","JS-16030"
"CA-2014-163335","2014-09-25","2","AG-10675"
"CA-2014-163405","2014-12-22","2","BN-11515"
"CA-2014-163510","2014-12-26","2","JW-15955"
"CA-2014-163566","2014-08-04","1","TB-21055"
"CA-2014-163671","2014-12-25","1","DP-13105"
"CA-2014-163818","2014-10-05","2","PS-18970"
"CA-2014-163860","2014-12-29","2","LO-17170"
"CA-2014-164042","2014-05-24","1","KL-16645"
"CA-2014-164098","2014-01-27","1","CG-12520"
"CA-2014-164112","2014-07-01","1","ND-18460"
"CA-2014-164168","2014-11-13","1","LS-16975"
"CA-2014-164378","2014-07-16","1","MM-18055"
"CA-2014-164707","2014-02-19","2","CV-12805"
"CA-2014-164756","2014-09-19","1","SS-20140"
"CA-2014-164819","2014-10-16","1","RS-19420"
"CA-2014-164826","2014-12-29","3","JF-15415"
"CA-2014-164917","2014-12-03","1","MK-17905"
"CA-2014-164959","2014-07-12","2","KN-16390"
"CA-2014-165029","2014-11-27","1","AH-10075"
"CA-2014-165099","2014-12-12","2","DK-13375"
"CA-2014-165155","2014-09-22","4","BM-11575"
"CA-2014-165204","2014-11-14","2","MN-17935"
"CA-2014-165386","2014-08-04","1","CM-12190"
"CA-2014-165715","2014-12-03","1","BG-11035"
"CA-2014-165904","2014-04-08","2","HR-14770"
"CA-2014-166093","2014-08-18","1","RW-19540"
"CA-2014-166142","2014-07-16","1","MM-17260"
"CA-2014-166184","2014-03-25","2","HR-14830"
"CA-2014-166198","2014-04-22","1","JW-15955"
"CA-2014-166296","2014-03-14","3","KF-16285"
"CA-2014-166317","2014-09-23","1","JE-15610"
"CA-2014-166436","2014-11-25","1","TS-21370"
"CA-2014-166499","2014-03-20","4","VG-21805"
"CA-2014-166576","2014-05-17","2","JM-15865"
"CA-2014-166695","2014-05-21","2","CC-12430"
"CA-2014-166835","2014-11-13","2","DK-13375"
"CA-2014-166849","2014-04-21","1","SJ-20125"
"CA-2014-166856","2014-09-19","2","TS-21505"
"CA-2014-166926","2014-12-02","3","SO-20335"
"CA-2014-167003","2014-05-24","1","VS-21820"
"CA-2014-167080","2014-06-11","2","LC-16930"
"CA-2014-167094","2014-10-22","2","DK-12835"
"CA-2014-167101","2014-03-25","1","BM-11650"
"CA-2014-167381","2014-09-23","4","EH-14005"
"CA-2014-167395","2014-12-03","4","KM-16720"
"CA-2014-167549","2014-07-26","2","EM-14200"
"CA-2014-167626","2014-09-04","1","MY-18295"
"CA-2014-167668","2014-05-07","2","TC-21295"
"CA-2014-167703","2014-02-04","2","MC-17575"
"CA-2014-167871","2014-11-19","1","AF-10870"
"CA-2014-167899","2014-05-22","1","JG-15805"
"CA-2014-167913","2014-07-31","2","JL-15835"
"CA-2014-167941","2014-11-07","2","JF-15565"
"CA-2014-167976","2014-11-12","4","JL-15505"
"CA-2014-168102","2014-04-25","3","CP-12340"
"CA-2014-168172","2014-08-07","2","SH-20395"
"CA-2014-168193","2014-03-07","2","RM-19750"
"CA-2014-168228","2014-04-28","2","AP-10915"
"CA-2014-168389","2014-12-12","1","DV-13045"
"CA-2014-168396","2014-08-04","1","BD-11725"
"CA-2014-168641","2014-11-25","3","KA-16525"
"CA-2014-168655","2014-10-13","1","ML-18040"
"CA-2014-168739","2014-05-30","1","HZ-14950"
"CA-2014-168837","2014-10-15","4","JW-15955"
"CA-2014-168858","2014-11-20","2","JD-16150"
"CA-2014-169012","2014-07-11","2","BF-11275"
"CA-2014-169054","2014-04-23","1","MO-17800"
"CA-2014-169124","2014-07-04","3","MB-17305"
"CA-2014-169285","2014-03-22","2","RW-19690"
"CA-2014-169327","2014-09-03","2","MH-17290"
"CA-2014-169411","2014-12-25","2","AC-10615"
"CA-2014-169439","2014-09-10","2","LC-17140"
"CA-2014-169607","2014-10-13","2","CA-12265"
"CA-2014-169691","2014-06-16","1","Dp-13240"
"CA-2014-169859","2014-12-15","2","MP-18175"
"CA-2014-169894","2014-11-25","1","MV-17485"
"CA-2014-169929","2014-09-26","1","LS-17200"
"CA-2014-169978","2014-12-25","1","HG-15025"
"CA-2014-169999","2014-06-20","1","JS-15685"
"CA-2014-2000","2014-01-07","1","DB-3120"
"CA-2014-2080","2014-09-23","1","HG-4965"
"CA-2014-240","2014-03-18","1","TB-11280"
"CA-2014-3090","2014-05-12","2","GZ-4545"
"CA-2014-3210","2014-02-22","1","LS-6975"
"CA-2014-3540","2014-12-01","1","TG-11640"
"CA-2014-3580","2014-02-11","2","ME-7725"
"CA-2014-3800","2014-07-29","1","FG-4260"
"CA-2014-4080","2014-11-17","3","SR-10425"
"CA-2014-4130","2014-09-09","3","GB-4530"
"CA-2014-4170","2014-11-27","1","DC-2850"
"CA-2014-4530","2014-11-14","1","RD-9480"
"CA-2014-4720","2014-06-18","2","NC-8340"
"CA-2014-5120","2014-02-18","1","JK-5625"
"CA-2014-5160","2014-05-09","1","CS-1950"
"CA-2014-560","2014-10-08","1","SW-10275"
"CA-2014-580","2014-06-26","4","Dp-3240"
"CA-2014-6280","2014-10-20","4","JD-5895"
"CA-2014-6350","2014-09-23","2","YC-11895"
"CA-2014-6550","2014-12-23","4","SV-10815"
"CA-2014-6960","2014-09-12","1","RD-9585"
"CA-2014-7280","2014-06-18","4","TH-11115"
"CA-2014-7620","2014-08-04","4","RB-9705"
"CA-2014-7630","2014-09-17","2","KT-6465"
"CA-2014-7680","2014-01-13","2","BT-1530"
"CA-2014-8150","2014-12-23","1","LT-6765"
"CA-2014-870","2014-04-20","1","CD-1980"
"CA-2014-8860","2014-07-04","1","TD-10995"
"CA-2014-900","2014-09-16","2","RM-9675"
"CA-2014-9070","2014-03-10","1","AG-495"
"CA-2014-9080","2014-08-25","1","DO-3645"
"CA-2014-9470","2014-06-23","2","SH-10395"
"CA-2014-950","2014-07-04","4","SS-10140"
"CA-2014-9840","2014-10-30","2","MH-8025"
"CD-2013-4900","2013-02-14","4","SM-10320"
"CF-2011-2380","2011-11-12","2","IM-5055"
"CF-2014-8240","2014-05-09","2","VB-11745"
"CG-2011-1390","2011-08-24","1","EB-3930"
"CG-2011-1560","2011-06-03","4","EB-3930"
"CG-2011-1850","2011-04-05","2","NC-8535"
"CG-2011-2090","2011-05-07","1","RB-9705"
"CG-2011-2230","2011-12-29","1","EH-3945"
"CG-2011-2540","2011-08-05","2","DP-3105"
"CG-2011-2990","2011-07-05","1","JK-6120"
"CG-2011-30","2011-09-12","1","HR-4770"
"CG-2011-3350","2011-09-28","1","CS-2130"
"CG-2011-3680","2011-12-15","2","MH-7785"
"CG-2011-4120","2011-06-20","2","KN-6705"
"CG-2011-4480","2011-06-27","3","TC-11475"
"CG-2011-5080","2011-05-02","2","GA-4515"
"CG-2011-5540","2011-09-27","2","DW-3480"
"CG-2011-6160","2011-09-15","1","AJ-960"
"CG-2011-6250","2011-02-15","1","TB-11625"
"CG-2011-6540","2011-02-25","2","TH-11550"
"CG-2011-6740","2011-09-02","2","SO-10335"
"CG-2011-6940","2011-12-14","1","NF-8385"
"CG-2011-7070","2011-11-07","4","DM-3525"
"CG-2011-7090","2011-08-01","1","AG-525"
"CG-2011-7550","2011-08-17","1","FC-4335"
"CG-2011-8400","2011-10-01","2","AF-870"
"CG-2011-8550","2011-04-04","1","DA-3450"
"CG-2011-8620","2011-12-31","2","NB-8655"
"CG-2011-8630","2011-11-22","1","BN-1470"
"CG-2011-8680","2011-08-12","4","JD-5895"
"CG-2011-8750","2011-12-12","1","AS-630"
"CG-2011-9120","2011-11-10","2","DW-3195"
"CG-2011-9130","2011-04-04","2","CL-1890"
"CG-2011-9150","2011-05-03","2","EH-3990"
"CG-2011-9940","2011-12-12","1","AZ-750"
"CG-2012-10","2012-11-21","1","ML-8265"
"CG-2012-1060","2012-10-18","2","EN-3780"
"CG-2012-2130","2012-06-19","4","SE-10110"
"CG-2012-2700","2012-12-22","2","DH-3675"
"CG-2012-2920","2012-07-07","1","BD-1605"
"CG-2012-340","2012-11-14","2","KC-6255"
"CG-2012-3500","2012-09-18","1","TS-11430"
"CG-2012-3820","2012-07-24","2","TS-11085"
"CG-2012-4330","2012-08-24","2","LW-6825"
"CG-2012-450","2012-09-22","4","SC-10770"
"CG-2012-4890","2012-05-26","2","JH-5430"
"CG-2012-4900","2012-09-21","1","SC-10305"
"CG-2012-520","2012-10-10","1","VM-11835"
"CG-2012-5580","2012-03-14","1","DB-3210"
"CG-2012-570","2012-09-27","1","PW-9240"
"CG-2012-5870","2012-11-04","1","JF-5490"
"CG-2012-6000","2012-09-24","4","KB-6315"
"CG-2012-6410","2012-06-23","1","JM-5655"
"CG-2012-6440","2012-02-14","2","CV-2295"
"CG-2012-6760","2012-10-12","1","MG-8145"
"CG-2012-7100","2012-06-15","1","Dp-3240"
"CG-2012-7200","2012-08-16","1","JD-6060"
"CG-2012-7880","2012-08-01","1","CW-1905"
"CG-2012-7930","2012-03-06","4","JS-5595"
"CG-2012-8310","2012-06-12","1","BW-1065"
"CG-2012-8640","2012-11-07","2","LF-7185"
"CG-2012-8660","2012-09-03","1","RD-9900"
"CG-2012-8780","2012-11-22","1","MS-7365"
"CG-2012-8980","2012-12-04","2","LH-6750"
"CG-2012-9200","2012-07-20","2","JK-5640"
"CG-2012-9410","2012-07-25","2","LB-6735"
"CG-2012-9700","2012-01-18","2","MV-8190"
"CG-2013-1420","2013-08-24","1","PK-9075"
"CG-2013-1780","2013-09-25","2","JM-5865"
"CG-2013-180","2013-05-09","1","MO-7800"
"CG-2013-1800","2013-08-08","3","DD-3570"
"CG-2013-1870","2013-09-06","1","HD-4785"
"CG-2013-1980","2013-06-24","1","HM-4980"
"CG-2013-20","2013-09-13","2","NC-8340"
"CG-2013-2440","2013-11-06","1","EJ-3720"
"CG-2013-2550","2013-05-31","2","SL-10155"
"CG-2013-2610","2013-10-16","2","TB-11250"
"CG-2013-2860","2013-05-17","1","AR-570"
"CG-2013-2870","2013-05-04","1","AJ-795"
"CG-2013-2900","2013-08-28","2","TC-11535"
"CG-2013-2940","2013-10-29","1","DM-3345"
"CG-2013-3060","2013-06-22","2","PG-8895"
"CG-2013-3660","2013-01-11","3","MR-7545"
"CG-2013-3910","2013-12-05","2","KB-6315"
"CG-2013-4000","2013-02-18","1","MB-7305"
"CG-2013-4190","2013-03-21","1","DM-2955"
"CG-2013-4480","2013-01-10","1","EH-3990"
"CG-2013-4760","2013-02-11","1","MG-7680"
"CG-2013-490","2013-09-18","1","HD-4785"
"CG-2013-4980","2013-08-16","1","EM-4065"
"CG-2013-5380","2013-04-11","2","ML-7755"
"CG-2013-5440","2013-02-08","2","FW-4395"
"CG-2013-5500","2013-08-16","4","KH-6360"
"CG-2013-5810","2013-01-01","2","JS-6030"
"CG-2013-6080","2013-05-09","2","LC-6885"
"CG-2013-6110","2013-03-29","2","BW-1065"
"CG-2013-6650","2013-09-17","1","GB-4575"
"CG-2013-6800","2013-03-18","1","NC-8340"
"CG-2013-6940","2013-06-05","1","BM-1575"
"CG-2013-7130","2013-09-02","2","KS-6300"
"CG-2013-7750","2013-09-16","2","OT-8730"
"CG-2013-7900","2013-08-12","3","JF-5565"
"CG-2013-8200","2013-03-12","1","VF-11715"
"CG-2013-8280","2013-11-21","1","CM-1815"
"CG-2013-8390","2013-01-05","1","HR-4770"
"CG-2013-8420","2013-09-10","1","DG-3300"
"CG-2013-8430","2013-05-03","1","PO-9195"
"CG-2013-8500","2013-02-06","1","JF-5565"
"CG-2013-8670","2013-12-10","1","JE-6165"
"CG-2013-8680","2013-06-18","1","EB-4170"
"CG-2013-9010","2013-11-24","1","AB-105"
"CG-2013-9050","2013-06-25","1","SL-10155"
"CG-2013-9730","2013-06-05","2","EM-3960"
"CG-2014-1070","2014-09-15","2","MH-7455"
"CG-2014-1110","2014-04-28","1","DR-2940"
"CG-2014-1140","2014-02-04","2","BO-1425"
"CG-2014-1560","2014-01-06","2","AR-540"
"CG-2014-1640","2014-10-22","4","JM-5865"
"CG-2014-180","2014-04-18","1","AT-435"
"CG-2014-20","2014-07-21","2","VS-11820"
"CG-2014-2000","2014-04-22","1","TH-11100"
"CG-2014-2730","2014-02-21","2","MD-7350"
"CG-2014-2750","2014-08-05","2","CM-1830"
"CG-2014-3240","2014-04-02","2","RM-9375"
"CG-2014-3470","2014-08-04","1","GZ-4470"
"CG-2014-3890","2014-11-03","2","LH-7020"
"CG-2014-390","2014-07-24","2","VG-11790"
"CG-2014-3960","2014-06-11","1","AF-885"
"CG-2014-4290","2014-06-16","1","NP-8325"
"CG-2014-4630","2014-08-12","4","DK-3375"
"CG-2014-4740","2014-09-26","1","MH-7440"
"CG-2014-4970","2014-02-16","1","HE-4800"
"CG-2014-5040","2014-07-25","2","DH-3075"
"CG-2014-5060","2014-04-25","1","KH-6510"
"CG-2014-5210","2014-03-31","1","PW-9030"
"CG-2014-5280","2014-11-26","1","LL-6840"
"CG-2014-5320","2014-06-18","1","DF-3135"
"CG-2014-5460","2014-12-23","1","TA-11385"
"CG-2014-5520","2014-08-09","1","MH-8115"
"CG-2014-5570","2014-05-28","2","JB-6000"
"CG-2014-5880","2014-06-03","3","AJ-780"
"CG-2014-6270","2014-10-22","2","RD-9720"
"CG-2014-6500","2014-11-08","1","ER-3855"
"CG-2014-6570","2014-06-02","1","JB-6045"
"CG-2014-6640","2014-04-10","1","DR-2880"
"CG-2014-6750","2014-03-06","1","PF-9120"
"CG-2014-6790","2014-11-21","2","BM-1575"
"CG-2014-6910","2014-03-04","1","BT-1440"
"CG-2014-6940","2014-09-08","1","DJ-3420"
"CG-2014-7050","2014-11-13","1","DP-3000"
"CG-2014-7660","2014-02-12","1","LC-6885"
"CG-2014-770","2014-05-29","1","RB-9435"
"CG-2014-80","2014-08-02","3","MH-7440"
"CG-2014-8350","2014-09-25","1","JR-5700"
"CG-2014-840","2014-11-04","1","DK-3150"
"CG-2014-8570","2014-03-17","1","RD-9720"
"CG-2014-8660","2014-06-26","1","RO-9780"
"CG-2014-870","2014-07-19","2","AM-705"
"CG-2014-8750","2014-08-17","1","AM-705"
"CG-2014-920","2014-01-01","2","EN-3780"
"CG-2014-9290","2014-08-26","1","BT-1305"
"CG-2014-9410","2014-05-29","2","AJ-795"
"CG-2014-9470","2014-10-29","2","SH-10395"
"CG-2014-9530","2014-12-11","2","GT-4755"
"CG-2014-9570","2014-02-12","3","HP-4815"
"CG-2014-9600","2014-04-02","1","BH-1710"
"CM-2011-110","2011-10-04","1","AG-270"
"CM-2011-1770","2011-06-20","4","CL-2565"
"CM-2011-4100","2011-06-14","2","AC-420"
"CM-2011-5120","2011-12-31","1","LO-7170"
"CM-2011-5640","2011-12-21","3","KF-6285"
"CM-2011-6580","2011-08-05","1","PF-9225"
"CM-2011-6590","2011-04-11","2","SC-10680"
"CM-2011-6610","2011-08-08","1","YC-11895"
"CM-2012-1850","2012-08-10","2","MC-7590"
"CM-2012-2220","2012-12-17","1","LP-7080"
"CM-2012-3700","2012-05-23","2","DL-3330"
"CM-2012-5610","2012-03-26","1","AR-570"
"CM-2012-6110","2012-12-30","1","LT-6765"
"CM-2012-6400","2012-02-02","1","SC-10095"
"CM-2012-6780","2012-09-19","1","EM-4065"
"CM-2012-710","2012-08-15","1","GB-4530"
"CM-2013-3760","2013-12-16","1","TP-11565"
"CM-2013-4490","2013-12-12","1","CW-1905"
"CM-2013-4650","2013-11-08","1","PH-8790"
"CM-2013-4800","2013-02-02","2","JL-5850"
"CM-2013-5120","2013-07-03","1","CV-2295"
"CM-2013-7060","2013-02-06","2","CL-1890"
"CM-2013-7780","2013-10-23","1","DB-3360"
"CM-2013-9580","2013-08-14","1","MS-7365"
"CM-2014-1600","2014-08-22","1","LW-6825"
"CM-2014-2110","2014-08-16","2","LB-6735"
"CM-2014-2470","2014-02-01","2","DB-2910"
"CM-2014-3130","2014-04-26","2","LH-7155"
"CM-2014-360","2014-03-01","1","CS-2130"
"CM-2014-4170","2014-09-03","1","MZ-7515"
"CM-2014-4270","2014-11-22","2","AH-75"
"CM-2014-4460","2014-06-15","2","JJ-5445"
"CM-2014-5980","2014-01-20","1","BF-1020"
"CM-2014-6610","2014-03-19","1","MC-8130"
"CM-2014-6760","2014-12-29","2","AS-225"
"CM-2014-680","2014-12-18","2","VM-11685"
"CM-2014-6910","2014-05-27","2","DB-2970"
"CM-2014-800","2014-10-31","1","GM-4440"
"CM-2014-820","2014-03-07","1","PG-8895"
"CM-2014-9300","2014-04-30","2","MH-7620"
"CT-2011-6350","2011-01-27","4","TS-11370"
"CT-2012-4590","2012-01-28","4","SC-10725"
"CT-2013-9370","2013-04-23","1","BS-1590"
"CT-2014-5650","2014-04-12","2","JE-6165"
"DJ-2011-470","2011-09-20","3","ER-3855"
"DJ-2013-3190","2013-10-09","2","DK-2895"
"DJ-2013-7120","2013-05-16","2","CS-2400"
"DJ-2013-9080","2013-12-02","1","JH-5430"
"EG-2011-120","2011-11-01","1","SJ-10215"
"EG-2011-1630","2011-09-01","2","JL-5130"
"EG-2011-1640","2011-12-22","2","BT-1680"
"EG-2011-1800","2011-04-14","2","HG-5025"
"EG-2011-1960","2011-08-29","2","RB-9360"
"EG-2011-1980","2011-11-08","1","LC-6885"
"EG-2011-2040","2011-03-03","1","AP-720"
"EG-2011-3390","2011-04-04","2","NM-8445"
"EG-2011-3420","2011-12-30","1","BH-1710"
"EG-2011-3570","2011-10-14","1","AJ-780"
"EG-2011-3900","2011-02-08","1","KW-6570"
"EG-2011-4220","2011-11-02","1","DH-3075"
"EG-2011-4260","2011-01-10","2","SJ-10125"
"EG-2011-4270","2011-01-13","1","RD-9720"
"EG-2011-4300","2011-06-14","3","JC-5340"
"EG-2011-4370","2011-12-14","1","ND-8460"
"EG-2011-4940","2011-12-12","1","MW-8235"
"EG-2011-5100","2011-11-11","1","GH-4665"
"EG-2011-5280","2011-10-20","1","VM-11835"
"EG-2011-6190","2011-06-03","1","PP-8955"
"EG-2011-6510","2011-12-20","1","EH-4125"
"EG-2011-6560","2011-12-28","2","DB-3060"
"EG-2011-6700","2011-09-14","2","RW-9690"
"EG-2011-7570","2011-07-12","4","JS-5880"
"EG-2011-7590","2011-07-20","4","IG-5085"
"EG-2011-7600","2011-07-12","1","LP-7080"
"EG-2011-7790","2011-06-11","2","AJ-795"
"EG-2011-7860","2011-11-03","2","CC-2370"
"EG-2011-8320","2011-08-01","2","HG-4845"
"EG-2011-9920","2011-09-14","2","LW-6990"
"EG-2012-1050","2012-03-09","2","MG-7695"
"EG-2012-1430","2012-01-11","1","EM-4140"
"EG-2012-1490","2012-09-11","2","AF-870"
"EG-2012-1630","2012-05-25","1","DA-3450"
"EG-2012-1730","2012-12-20","1","KT-6480"
"EG-2012-1850","2012-06-27","1","DJ-3420"
"EG-2012-1980","2012-09-17","2","FA-4230"
"EG-2012-2260","2012-10-12","1","LC-6930"
"EG-2012-240","2012-02-20","1","ML-7395"
"EG-2012-2470","2012-06-18","1","JW-5955"
"EG-2012-2610","2012-04-10","1","AH-120"
"EG-2012-30","2012-12-27","1","BH-1710"
"EG-2012-3510","2012-08-21","1","BM-1785"
"EG-2012-3660","2012-09-06","1","CM-2160"
"EG-2012-3730","2012-08-02","4","RA-9285"
"EG-2012-390","2012-09-25","1","BS-1365"
"EG-2012-3940","2012-05-18","2","TB-11250"
"EG-2012-3950","2012-11-12","1","VG-11790"
